published_at,like_count,text
2023-11-01T08:53:50Z,0,Pro tip : de gehele recycling industrie hangt zo aan elkaar.
2023-10-27T23:14:54Z,0,en waarom maken ze van die afval geen brandsrof ?
2023-10-21T15:16:29Z,0,Goed idee ons as van afval moet toch ergens heen natuurlijk groene  berg is toch goed idee
2023-07-31T16:59:19Z,0,"Ik heb een tijdje gewerkt bij een bedrijf wat bij &#39;&#39;Afvalzorg Nauerna&#39;&#39; het groen beheer deed, dit ging over hoveniers werkt tot bomen planten op de aangelegde heuvels.Als ik dit eerder had gezien, had ik daar nooit meer een voet op het erf gezet. Bodem as word daar ook aangevoerd en verwerkt, maar naar mijn mening (ik ben geen deskundige hou dat in je gedachten) niet helemaal correct ook. Er waren instanties waar een zak met bodem as lek was, en al het groen er omheen stierf per direct af. Dan werd alles open gegraven, het lek dicht gemaakt en begon het weer opnieuw en toch vaak zag je weer, een nieuw lek of het zelfde lek ontstond.De grond daar ligt vol met metaal en puin, als je daar bomen moest planten en je gebruikte een 2takt grondboor dan moest je enorm goed opletten omdat je om de haverklap vast liep op een stuk metaal of puin. Er was een helling, en dat was echt een hel om daar te staan. Een helling vlak die opliep tegen de plek waar nieuwe bodem as werd geleverd, als het waaide dan voelde je de korrels tegen je aan komen en ik werd altijd vrijwel snel niet lekker als ik daar was en helemaal niet als he waaide. Denk aan hoofdpijn, jeuk gevoel en pijn in me keel en oren. En gevoelige ogen.De geur, kreeg je hoofdpijn van - en het voelde ook niet fijn om daar te zijn omdat je toch ook wel snel door hebt van hmm deze grond daar moet je geen hand blote hand willen insteken. De operators daar claimen dat het veilig is, maar weigeren uit hun druk cabines te komen. En de mensen van het kantoor daar blijven ook kilometers verder op staan.Wij hebben hier gemaaid met trekkers, en dan zit je in de zomer in stof wolken. Als je dit dan ziet, begin ik me toch wel zorgen te maken. Wat als die meters grond er boven op vervuilt zijn met as? Wat als er toch ook resten as in die grond zit? Uiteindelijk word dat ook een park, voor families om heen te gaan. Maar ik ga er nooit meer naar terug. En de uren die ik daar gespendeerd heb, heb ik spijt van."
2023-07-23T20:19:04Z,1,er is geen afvalverwerker in dit land welke niet sjoemelt..zul je niet vinden.... afvalverwerking is big busyness...wordt goud geld aan verdiend....das algemeen bekend....veel gerommel met papieren.... 😢
2023-07-19T15:02:33Z,0,Verontreinigd met zware metalen? zit niet in mijn afval.Alles is gerecycled.GFT blijft over.Hoe komen die zware metalen in mijn afval.
2023-07-14T16:26:14Z,0,"Er moet een verbod komen op onnodig consumeren, dan heb je het afval ook niet."
2023-07-07T07:42:07Z,0,"zembla, duiken jullie svp ook in de rome-amsterdam afval connectie?"
2023-07-05T11:16:47Z,0,"Ik weet uit betrouwbare bron dat alle door ons zo netjes gescheiden afval in Rijnmond op één grote hoop komt waar het gezamenlijk wordt verbrand.  De temperatuur loopt daarbij op tot ver boven de duizend graden en om het snel af te koelen stort men er (schrik maar niet) gewoon chemisch afval (verf, chemicaliën etc) overheen !   Hoezo “we zijn goed bezig met ons milieu !”U zult begrijpen dat ik geen afvalverwerkingsbedrijf of plaats kan noemen.En als laatste……..het ‘residu’ koopt u in zakken van 40 of 20 liter alziende bemeste tuinaarde !    Bemest……ja ja !  BESMET !"
2023-05-19T15:41:31Z,0,ZEMBla heeft er niet over maar ook  in de jaren 70 alreeds was bekend dat schepen enorme ladingen afval in de noordzee hebben gedumpt en volgens klokkenluiders gebeurd dat steeds nog
2023-05-19T15:03:37Z,0,hou toch op het gaat  niet alleen om de as  het is de vervuilde afvalverbranding lucht met toxinen gifstoffen en die veroorzaken kanker/copd
2023-04-11T11:40:32Z,1,De Italiaanse hoofdstad Rome heeft grote problemen met het verwerken van de grote hoeveelheden huisvuil. De twee steden hebben nu afgesproken  dat elke week 900 ton Italiaans afval per trein naar Amsterdam gaat om daar te worden verbrand. Goed bezig femke
2023-03-30T19:34:08Z,0,En nu gaan wij afval importeren uit Italië. De Italiaanse maffia VS de Nederlandse maffia.
2022-12-04T11:44:39Z,0,"Als je een verschil wilt maken, zorg dat je minimaal afval creëert en blijf omstanders wakker schudden. Ik vind dit leven het leven niet waard als je je hierin afzijdig opstelt, durf je uit te spreken. Ook op de werkvloer, dan wordt je maar minder &quot;leuk&quot; gevonden. We creëren het zelf."
2022-11-08T08:21:52Z,0,"En nog meer asielinstroom, meer mensen, meer afval!"
2022-10-17T10:49:03Z,0,"Mooi inzicht in de wijdverspreide corruptie. Al jaren bekend maar het OM grijpt niet in, wie zijn toch die mensen??? Maar intussen wordt de Nederlandse economie naar de klote geholpen wegens CO2 en Stikstof om de natura 2000 gebieden te &#39;redden&#39; na eerst tonnen gevaarlijk afval te dumpen. Dit heeft alle kenmerken van een echte crisis en deze is opnieuw onder de leiding van Mark Rutte ontstaan. Wat een gaaf land...:("
2022-05-19T10:06:28Z,0,"Het zoveelste bewijs van een schandaal waar veel geld mee verdiend wordt. De bodem wordt vervuild, flora en fauna bewust kapot gemaakt in het belang van deelnemers die liever de handen schoonhouden. De burger die ziek wordt is dan ook weer op vele manieren een verdienmodel. Farmaceutische bedrijven vragen wat ze willen  overheden wijzen naar burgers over slecht consumenten gedrag  zorgpremiestijging afvalheffingstijging en dat allemaal door gevolg van dit soort bewuste  praktijken. Helaas zullen de verantwoordelijken zoals het eeuwig gaat nooit verantwoording hoeven dragen. Ze vernietigen de aarde en zoeken in het sterrenstelsel naar functie elders"
2022-02-24T14:48:08Z,0,"In Sluiskil bij Heros liggen ook bergen as met van alles en nog wat er in. Ze mogen het ook eens gaan onderzoeken wie weet wat er allemaal niet ingeademd wordt. Het fijnstof ligt in huis in de keukenkasten en ook op de auto in de garage en dat iedere dag. . Er komen ook allerlei schepen aan per dag die de rotzooi lossen ze leggen allerhande soorten rotzooi er van op de wegen.  In Sluiskil hadden ze ook een mooi verhaal over een muur die ze neer gezet hebben dat was in het voordeel van de bewoners want het het nu was een mooi gezicht. En zo gauw de muur er stond kwamen er bergen as te liggen. Ik vind het niet kunnen want kleine kinderen die ademen dat in op zo&#39;n jonge leeftijd. Al die bedrijven sponsoren van alles en nog wat en daar zijn de mensen tevreden over en denken niet na dat het op termijn consekwenties voor hun gezondheid en dat van hun kinderen zal hebben. &#39;t Zou me niet verbazen dat hier ook een lucht aan ziit want Terneuzen is een gemeente die alleen maar aan geld denkt en van alles en nog wat toestaat aan de bedrijven . Ze verlenen en gewoon toestemming voor allerlei uitstoot en zetten dan ergens een meterkast neer omdat er om gevraagd wordt door de milieudienst hoogstwaarschijnlijk om te kijken hoe veel er vervuild wordt maar je hoort er nooit iets van want hoe kun gemakkelijk kun je de zaak besodemieten  geen enkele van die ambtenaren woont in Sluiskil  maar de mensen leven er wel zeer ongezond en de artsen geven toe dat de meeste mensen overlijden aan kanker. De burger moet heel wat gaan opbrengen voor het milieu en dit staan ze nog steeds allemaal toe en brengen de burgers naar de financiële afgrond voor het milieu waar zijn ze toch mee bezig de idioten.Milieu hier en milieu daar en hele stukken van  Nederland  worden nog steeds erg vervuild iedere dag met verbrande rotzooI en de burgers ademen alles in, Ze verdienen schatten aan de verwerking van de vervuiling en leven in luxe en de inwoners zijn de dupe en de superrijke ondernemers die deze vervuiling veroorzaken worden steeds rijker en rijker LEVE HET MILIEU DE BURGER ZAL HET WEL OPBRENGEN."
2022-02-21T12:21:18Z,4,"Jaren geleden er op excursie geweest. Men vertelde dat ze zelfs afval importeren (afkomstig uit london) om aan hun zogenaamde groenestroom te kunnen voldoen. Toen ik vroeg waar ze mee bezig waren, werd me duidelijk gemaakt dat het voldoen van zakelijke afspraken belangrijker waren dan het milieu… En wie gaat er nu wat aan doen? Ik denk niemand…."
2022-02-18T23:17:19Z,0,"Bijna hetzelfde als het granulietdossier! schandelig..... Top werk Zembla.. Individual profit undermines collective gain.... Schande, alle milieuwetgeving en niet bestaande controles ervan hebben wederom gefaald. Er moeten strengere eisen komen over wat geproduceerd mag worden zodat er überhaupt al geen verontreinigingen zitten in het afval."
2022-02-10T09:08:59Z,1,"En dan ook nog alle afval per boot uit Italië, Ierland etc,etc, hier laten komen om te verbranden?????"
2022-02-09T21:07:51Z,0,Lekker kappen over klimaat bullshit. Zolang ze afval uit andere landen importeren en hier in Nederland verbranden. Geloof ik geen ene moer van al die linkse poppetjes die het klimaat toch allemaal zo belangrijk vinden..
2022-02-08T19:32:28Z,2,Minder afval produceren zou ik zeggen
2022-02-08T09:12:12Z,2,Alle huidige verbrandingsinstallaties zijn niet instaat om afval netjes te verwerken!Het systeem is niet instaat schoon te werken.
2022-02-07T19:24:49Z,0,200 gram as per kilo verbrand afval.
2022-02-07T19:14:04Z,1,"Craaikamp werkte ook al bij Feniks Recycling (Ballast Nedam), de voorganger van Rocksolid."
2022-02-06T18:42:47Z,2,"Ik heb toentertijd voor Jvo recycling daar in Amsterdam de slakken verwerkt. Iedereen wist dat het niet pluis was, binnen in een hal de boel verwerken en ‘s nachts laden. De hal was van PARO…"
2022-02-05T20:39:56Z,48,"Ik heb 7 jaar gewerkt voor een van de grootste klanten van AEB , ook een afvalwerker .2x is ons wijsgemaakt dat er stofmetingen werden gedaan ,  de eerste x was t &quot;niet goed gemeten&quot; ,dus moest t opnieuw .Van het tweede onderzoek hebben we nooit meer iets gehoord .Prevenief Medisch Onderzoek kwam ook niet veel fraais uit ,sommige mensen 3x zoveel zware metalen als toegestaan ."
2022-02-04T13:57:01Z,0,"niet aleen bodem as, kijk ook eens naar asbest wordt gewoon 20meter diep geduwt en zand erover.... wat gebeurt er met alle heftige afval zoals zware chemicalien uit productie processen en energie opwekking zoals een energie reactor vindt dat ze daar eens wat beter over moete nadenken wij zijn maar een klein landje t raakt ooit vol hier en waar moete onze kindere dan op gaan bouwen? zorgwekkend"
2022-02-04T07:25:26Z,0,"Wat moeten we anders met ons restafval? Storten? zodat de troep evengoed de grond in loopt? Met dezelfde CO2 uitstoot, echter ZONDER energieopwekking? Verbranden en verrotten zijn allebei oxidatie.Hoe goed we ook hergebruiken, recyclen, ecologisch produceren en wat dan ook, reststromen zullen er altijd zijn. Ik zie geen betere oplossing als dit. Het blijft sowieso vechten tegen de bierkaai vanwege de bevolkingsaanwas."
2022-02-03T23:31:35Z,0,"Doet me denken aan de Aagtenbelt in Beverwijk, daar is ook wat weggemoffeld in een zogenaamd groenproject, ook zo&#39;n &quot;mooi ogende groene heuvel&quot; als wandel en recreatie gebied. Inwoners zijn daar tegen in protest gegaan, omdat de heuvel bestaat uit slikafval van Tata Steel waarvan zogenaamde onderzoeksrapporten uitwijzen dat de bodem en omliggend water niet vervuild of in gevaar komen. Het plan is vervolgens doorgeduwd...het ogenschijnlijk groen waar ouders en hun kinderen gewoon veilig kunnen spelen...zeggen ze!Zembla pak je deze ook even op? Dan kunnen jullie er een serie van maken, want Tata vervuild nog veel meer...al járen...niet voor niets heeft de hele IJmond de hoogste concentratie van mensen met kanker en luchtwegklachten, van heel Nederland."
2022-02-03T19:52:38Z,0,"Dit lijkt een verkorte reportage. Of een reportage die nog niet compleet is. Er gaat gezien het gerommel vast een tweede of derde deel konen.In Alkmaar bij HVC, maar zeker Sortiva!, is het eveneens niet pluis.In tegendeel. Daar bergen as en bij Sortiva hebben ze de hoge gigantisch grote afval berg geheel uitgegraven en verplaatst om er plastic tegen bodem lekken onder te doen.Gauw gaan kijken voordat ze alle bewijs verstoppen!"
2022-02-03T19:26:14Z,0,"&quot;Afval bestaat niet!&quot; Als je het maar lang genoeg blijft herhalen, gaan mensen het vanzelf geloven.En dan te bedenken dat er overal in Nederland van die verbrandingsovens staan, met een gezamenlijke capaciteit die vele malen groter is dan wat we hier in Nederland aan afval produceren. Vanuit heel Europa wordt afval hiernaartoe versleept en verbrand. En wie mag er in de giftige rook op een berg giftige grond zitten? Hint: Niet &#39;t Gooi."
2022-02-03T18:31:18Z,0,En zo doen ze maar een  dotje.  En ondertussen word ons land een mega afvalbak .En dat allemaal onder het mom van &quot; duurzaamheid &quot;
2022-02-03T11:22:47Z,1,in welk afval zitten die zware metalen die overblijven dan vraag ik me af
2022-02-02T18:18:51Z,0,"Exactly my thoughtEn jarenlang milieutaxen betalen op alles wat je koopt, afval sorteren tot je fikken blauw zien Die ouwe mensen met hun karretjes maar afval verzamelenen dan komen die stoffen weer in het milieu Dus dat is dan de kringloop waar ze het over hebbenDer grune punkte pfff"
